ch04	FIGURE NEEDED: Figure 3A -- five photographs 	2013_DA_D2-s1.pdf
ch04	FIGURE NEEDED: three point diagrams Delta-l_S	2013_DA_D2-s2.pdf
ch04	FIGURE NEEDED: straight-line fit graph "D02.1	NOTE:fit graph drawn by student; none printed in official solution
ch04	FIGURE NEEDED: graph "D02.3c" -- R_D(t) (in R	2025_DA_D02-s1.pdf
ch04	FIGURE NEEDED: mosaic of 7 JHelioviewer frame	2021_OBS-SKY_1-s1.pdf
ch04	FIGURE NEEDED: three plots -- Distance vs Tim	2021_OBS-SKY_1-s2.pdf
ch07	FIGURE NEEDED: cross-section of the star with	2014_TH_P10-s1.pdf
ch07	FIGURE NEEDED: the log(L/L_S) vs log(M/M_S) g	2014_TH_P6-s1.pdf
ch07	FIGURE NEEDED: flaring disk cross-section wit	2022_TH_5-s1.pdf
ch07	FIGURE NEEDED: answer graph with hand-drawn Y	2025_TH_T11-s1.pdf
ch07	FIGURE NEEDED: hand-drawn answer sketch of q(	2025_TH_T11-s2.pdf
ch14	FIGURE NEEDED: graphical solution -- plot of 	2023_TH_Q13-s1.pdf
ch14	FIGURE NEEDED: linear fit of f^{-8/3} (0 to 6	2022_DA_1-s1.pdf
ch14	FIGURE NEEDED: plot of Fermi GBM event count 	2022_DA_1-s2.pdf
