ch03	FIGURE NEEDED: Table 1 — apparent positions o	NOTE:Table 1 not in source paper (distributed separately with exam)
ch03	FIGURE NEEDED: 2014_DA_D2-f1.pdf is mis-cropp	2014_DA_D2-s7.pdf
ch03	FIGURE NEEDED: 2014_DA_D2-f2.pdf is mis-cropp	2014_DA_D2-s8.pdf
ch03	FIGURE NEEDED: sky map Map-OP01 (angle preser	2025_OBS-PLAN_OP01-s3.pdf
ch03	FIGURE NEEDED: diagram from page 2 of the 202	SKIP
ch03	FIGURE NEEDED: Venus's circular orbit around 	2007_TH_1.2-s1.pdf
ch03	FIGURE NEEDED: sketch of the line of sight y 	2008_TH_S13-s1.pdf
ch03	FIGURE NEEDED: circle of radius 1 centred at 	2008_TH_S13-s2.pdf
ch03	FIGURE NEEDED: schematic of the Sun radiating	2008_TH_S9-s1.pdf
ch03	FIGURE NEEDED: two concentric circular orbits	2009_TH_P13-s1.pdf
ch03	FIGURE NEEDED: two concentric circular orbits	2010_TH_L17-s1.pdf
ch03	FIGURE NEEDED: solar disk with transit chord 	2010_TH_S14-s1.pdf;2010_TH_S14-s2.pdf
ch03	FIGURE NEEDED: sketch of the two circular orb	2012_TH_S3-s1.pdf
ch03	FIGURE NEEDED: Sun--observer--body triangle d	2014_TH_P14-s1.pdf
ch03	FIGURE NEEDED: Sun--Earth--Moon geometry with	2014_TH_P14-s2.pdf
ch03	FIGURE NEEDED: Sun S with the orbits of Earth	2015_TH_S3-s1.pdf
ch03	FIGURE NEEDED: diagram of Earth and Moon show	2023_TH_Q7-s1.pdf
ch03	FIGURE NEEDED: diagram of the Moon's elliptic	2023_TH_Q7-s2.pdf
ch03	FIGURE NEEDED: cross-section of the shadow co	2024_TH_T10-s1.pdf
ch03	FIGURE NEEDED: spherical triangle on the cele	2024_TH_T10-s2.pdf
ch03	FIGURE NEEDED: two diagrams: (left) a circle 	2024_TH_T10-s3.pdf
ch03	FIGURE NEEDED: final frame of the simulation 	2007_DA_D1-s1.pdf
ch03	FIGURE NEEDED: orbit diagram with the Sun (Ob	2007_DA_D3-s1.pdf
ch03	FIGURE NEEDED: scatter plot of the five Type 	2008_DA_D3-s1.pdf
